nodeId,name,scenarioCode,scenarioNameZh,content,knowledgeType,category,difficulty
cmqcb9gsv000dv4ua2j8rtfvm,ASCII码,ONLINE_COURSE,学科课程在线学习,<p>（1）将程序补充完整<br>（2）若输入的code为“verygood”，key为2，则输出什么</p>,,输入函数、输出函数、字符、关系运算符、if语句、连缀的if-elif-else、赋值语句、str()函数、ASCII码、函数的定义、函数的调用、关键字参数、for...in循环、range()函数,LOW
cmqcb9gvc000rv4ua781b8l6y,chr()函数,ONLINE_COURSE,学科课程在线学习,<p>试着测试chr( )函数的结果</p><p>感受这个函数的作用</p>,,chr()函数、ASCII码,MEDIUM
cmqcb9guz000pv4uabimf3vu5,chr()函数、ord()函数、ASCII码,ONLINE_COURSE,学科课程在线学习,"<p>使用替代加密法，通过将明文中使用的字母表按照一定的字数“平移”进行加密，其中平移的字母数量相当于密钥。本任务可设置密钥为3的替代加密法，英文字母“A”向后平移3位变成“D”，“B”变成“E”，“Z”变成“C”，这样就把明文变成密文，从而把捐赠者原本设置的密码变成一个新密码，从而提升密码等级。</p><img src=""https://coding-platform.oss-cn-beijing.aliyuncs.com/%E8%A1%8C%E7%9F%A5%E4%B8%AD%E5%AD%A6/%E5%85%AB%E4%B8%8A/%E7%AC%AC11%E8%AF%BE%20%E6%95%B0%E6%8D%AE%E5%A4%87%E4%BB%BD%E4%B8%8E%E5%8A%A0%E5%AF%86/%E5%87%AF%E6%92%92%E5%8A%A0%E5%AF%86_%E6%B5%81%E7%A8%8B%E5%9B%BE.png"">",,输入函数、输出函数、赋值语句、关系运算符、、字符串、if语句、连缀的if-elif-else、for...in循环、chr()函数、ord()函数、ASCII码,LOW
cmqcb9gsh000bv4uar3ss5yxp,for…in循环,ONLINE_COURSE,学科课程在线学习,<p> 	有100元钱，要买100只鸡，公鸡5元一只，母鸡3元一只，小鸡1元三只，问可以买到多少只公鸡、母鸡和小鸡?&nbsp;<br /> <br /> <strong>示例</strong><br /> 输入：（无输入）<br /> 输出：0 只公鸡， 25 只母鸡， 75 只小鸡<br /> 4 只公鸡， 18 只母鸡， 78 只小鸡<br /> 8 只公鸡， 11 只母鸡， 81 只小鸡<br /> 12 只公鸡， 4 只母鸡， 84 只小鸡 </p>,,输出函数、整数、关系运算符、if语句、基本的条件语句、赋值语句、for…in循环、range()函数,MEDIUM
cmqcb9gwz0010v4uaiit3uej1,for...in循环,ONLINE_COURSE,学科课程在线学习,<p>输入一个正整数，输出其所有因数的和。</p><p>示例：输入：4</p><p>输出：7</p><p>提示：循环结构+分支结构。</p>,,输入函数、输出函数、赋值语句、整数、关系运算符、for...in循环、range()函数、if语句、有分支的条件语句,LOW
cmqcb9gxw0015v4uae1j9berj,for...in循环、while循环,ONLINE_COURSE,学科课程在线学习,<p><strong>请思考以下问题，并完善代码：</strong></p><p></p><p><strong>工作日模式要努力到什么水平，才能与每天努力1%一样？</strong></p><p>- <strong>A君: 一年365天，每天进步1%，不停歇</strong></p><p>- <strong>B君: 一年365天，每周工作5天休息2天，休息日下降1%，要多努力呢？</strong></p>,,赋值语句、浮点数、输出函数、关系运算符、for...in循环、字符、range()函数、列表、format()函数、if语句、有分支的条件语句、while循环、while循环语法格式、函数的定义、函数的调用、关键字参数,MEDIUM
cmnzmxqkl0002gy8olyqtgpkz,html标签,SHOW_CASE,展示场景,居中对齐、网页背景色、字体格式  ---  【网页】 方法一： 居中对齐、网页背景色、字体格式  教材页码：浙教版《信息科技》八年级上33-36,网页,html常用标签,MEDIUM
cmqcb9gyo0019v4uax937fpr9,HTML标签,ONLINE_COURSE,学科课程在线学习,<p></p>,,HTML标签,MEDIUM
cmnzmxrsd000agy8oedj8jy1l,html网页添加CSS,SHOW_CASE,展示场景,内联样式表：在HTML页面的<body></body>标签中 添加  ---  【网页】 方法一： 内联样式表：在HTML页面的<body></body>标签中 添加  教材页码：浙教版《信息科技》八年级上-41,网页,网页的数据呈现,MEDIUM
cmnzmxqcr0001gy8ocewz3oy2,html语言,SHOW_CASE,展示场景,打开网页-打开开发人员工具-查看html语言  ---  【网页】 方法一： 打开网页-打开开发人员工具-查看html语言  教材页码：浙教版《信息科技》八年级上33-36,网页,网页的数据组织,MEDIUM
cmqcb9gqe0001v4uad5g91mcj,if语句,ONLINE_COURSE,学科课程在线学习,<p> 	购买火车票时年龄小于6周岁则免票。基于该购票规则的购票算法流程图如下所示，尝试运行程序并观察输出结果<br /> <br /> <strong>Python</strong>：if语句<br /> 当条件为真时执行if下的代码<br /> <br /> <strong>示例</strong>：&nbsp;<br /> 输入：5<br /> 输出：免票<br /> <br /> 输入：6<br /> 输出：（无输出） </p> <p> 	<br /> </p>,,输入函数、int()函数、输出函数、整数、关系运算符、if语句,LOW
cmqcb9gv6000qv4ua79y1remm,ord()函数,ONLINE_COURSE,学科课程在线学习,<p>试着测试ord( )函数的结果</p><p>感受这个函数的作用</p><p></p>,,ord()函数、ASCII码,MEDIUM
cmqcb9h0b001dv4uaa8m62r5z,range()函数,ONLINE_COURSE,学科课程在线学习,<p>[系统]:玩家，这是公元前206年，你的名字叫韩信，你刚被萧何推荐给了刘邦，刘邦封你为大将军。只见你眼前缓缓展开了任务界面：触发主线任务，作为新任大将，你需要在主公面前展示你的才能。请迅速完成加密项目。</p><p>【项目】军中情报频频被敌军窃取，你决定利用九键输入字母完成情报加密。</p>,,range()函数、for...in循环,MEDIUM
cmqcb9gyv001av4ua4505pn95,while循环,ONLINE_COURSE,学科课程在线学习,<p>设计一个能够输出10次“爱上学习”的程序</p>,,while循环,MEDIUM
cmqcb9gsa000av4uaoz4w81qx,while循环语法格式,ONLINE_COURSE,学科课程在线学习,"<p> 	大约在 1500 年前，《孙子算经》中记载了这个经典的数学问题， 用现代汉语描述如下：有若干只鸡、兔同在一个笼子里，从上面数有 35 个 头，从下面数有 94 只脚，问笼中各有多少只鸡和多少只兔?<br /> <br /> <strong>示例</strong><br /> 输入：（无输入）<br /> 输出：23 只鸡 12 只兔。 </p> <p> 	<br /> </p> <p> 	<br /> </p> <img src="" https://coding-platform.oss-cn-beijing.aliyuncs.com/6/3.png"" />",,输出函数、整数、关系运算符、if语句、基本的条件语句、赋值语句、while循环、while循环语法格式,MEDIUM
cmqcb9gyg0018v4uaym5uvrnc,丰富的库,ONLINE_COURSE,学科课程在线学习,<p>本课程微测试内容</p>,,丰富的库、二分搜索、二进制数,MEDIUM
cmogleq5t000wq18ojpee7hpn,为幻灯片添加过渡效果,SHOW_CASE,展示场景,"1. ""选中幻灯片 点击""""切换""""选项卡 从""""切换到此幻灯片""""组中选择一个过渡效果""  ---  【PowerPoint】 方法一： 选中幻灯片 点击""切换""选项卡 从""切换到此幻灯片""组中选择一个过渡效果",PPT,动画效果与过渡效果,MEDIUM
cmogleq63000yq18oyprbz8yn,为文字、图片等对象添加动画,SHOW_CASE,展示场景,"1. ""选中要添加动画的对象 点击""""动画""""选项卡 从""""动画""""组中选择一个动画效果""  ---  【PowerPoint】 方法一： 选中要添加动画的对象 点击""动画""选项卡 从""动画""组中选择一个动画效果",PPT,动画效果与过渡效果,MEDIUM
cmqcb9gru0008v4ua4ykgrk2n,二分搜索,ONLINE_COURSE,学科课程在线学习,在1-1000范围内查找目标数37，利用二分查找算法，循环执行的次数是多少？,,输出函数、整数、关系运算符、if语句、连缀的if-elif-else、赋值语句、while循环、while循环语法格式、跳出循环break、二分搜索,MEDIUM
cmqcb9gug000mv4uamv7tza6z,二进制,ONLINE_COURSE,学科课程在线学习,<p>输入一个十进制数，要求输出其对应二进制。</p><p>示例：输入：11</p><p>输出：1011</p>,,输入函数、输出函数、整数、二进制数、十进制、基数、数位、赋值语句、关系运算符,LOW
